,total_cup_points,species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,altitude_mean_meters,moisture
372,83.5,Arabica,Guatemala,Bourbon,7.5,7.75,7.5,8.0,7.67,10.0,1402.08,0.0
375,83.42,Arabica,Colombia,Caturra,7.5,7.58,7.5,7.75,7.83,10.0,439.0,0.0
376,83.42,Arabica,Guatemala,Bourbon,7.67,7.5,7.58,7.58,7.67,10.0,1700.0,0.1
377,83.42,Arabica,Colombia,Caturra,7.67,7.5,7.67,7.67,7.58,10.0,442.0,0.11
378,83.42,Arabica,Costa Rica,Caturra,7.58,7.42,7.92,7.5,7.67,10.0,1850.0,0.09
380,83.42,Arabica,Uganda,SL14,7.58,7.33,7.75,7.67,7.58,10.0,1800.0,0.11
381,83.42,Arabica,Thailand,Catimor,7.5,7.75,7.5,7.75,7.67,10.0,1200.0,0.13
382,83.42,Arabica,El Salvador,Bourbon,7.58,7.75,7.58,7.75,7.67,10.0,1330.0,0.11
383,83.42,Arabica,Colombia,Caturra,7.58,7.58,7.67,7.58,7.67,10.0,442.0,0.12
385,83.42,Arabica,"Tanzania, United Republic Of",Bourbon,7.75,7.58,7.67,7.58,7.58,10.0,1600.0,0.13
386,83.42,Arabica,Colombia,Caturra,7.58,7.25,7.75,7.75,8.58,10.0,1813.0,0.12
387,83.42,Arabica,Guatemala,Bourbon,7.75,7.33,7.83,7.5,7.67,10.0,1219.2,0.1
388,83.42,Arabica,Guatemala,Caturra,7.67,7.5,7.83,7.58,7.5,10.0,1500.0,0.1
389,83.42,Arabica,Guatemala,Bourbon,7.67,7.75,7.42,7.75,7.75,10.0,1310.64,0.11
391,83.42,Arabica,Colombia,Caturra,7.5,7.58,7.5,7.67,7.75,10.0,1450.0,0.11
396,83.33,Arabica,Colombia,Caturra,7.75,7.75,7.58,7.58,7.58,10.0,1650.0,0.0
399,83.33,Arabica,Brazil,Catuai,7.5,7.33,7.58,7.58,7.92,10.0,1227.0,0.1
400,83.33,Arabica,Mexico,Caturra,7.75,7.5,7.67,7.5,7.58,10.0,1200.0,0.12
401,83.33,Arabica,Colombia,Caturra,7.67,7.42,7.83,7.83,7.42,10.0,1650.0,0.11
402,83.33,Arabica,"Tanzania, United Republic Of",Other,7.75,7.67,7.58,7.58,7.58,10.0,1700.0,0.12
403,83.33,Arabica,Mexico,Other,7.67,7.58,7.67,7.5,7.58,10.0,1100.0,0.12
404,83.33,Arabica,Costa Rica,Caturra,7.67,7.42,7.67,7.67,7.67,10.0,1300.0,0.12
406,83.33,Arabica,Costa Rica,Catuai,7.5,7.67,7.5,7.83,7.17,10.0,1200.0,0.11
408,83.33,Arabica,Haiti,Typica,7.58,7.67,7.5,7.83,7.42,10.0,1280.16,0.11
409,83.33,Arabica,Colombia,Caturra,7.67,7.5,7.67,7.92,7.42,10.0,1000.0,0.11
410,83.33,Arabica,Guatemala,Bourbon,7.83,7.17,7.67,7.67,7.67,10.0,1310.64,0.11
412,83.33,Arabica,Burundi,Bourbon,7.75,7.33,7.5,7.5,7.75,10.0,1880.0,0.0
413,83.33,Arabica,Colombia,Caturra,7.5,7.67,7.58,7.67,7.58,10.0,1750.0,0.0
416,83.25,Arabica,Mexico,Typica,7.67,7.42,7.83,7.33,7.5,10.0,1600.0,0.11
417,83.25,Arabica,Costa Rica,Catuai,7.5,7.83,7.5,7.67,7.67,10.0,1900.0,0.11
419,83.25,Arabica,Guatemala,Pacas,7.5,7.42,7.83,7.67,7.58,10.0,2100.0,0.11
422,83.25,Arabica,Colombia,Caturra,7.58,7.67,7.17,7.75,7.83,10.0,442.0,0.0
423,83.25,Arabica,Mexico,Typica,7.83,7.5,7.58,7.58,7.58,10.0,1261.0,0.12
424,83.25,Arabica,Taiwan,Bourbon,7.67,7.5,7.5,7.67,7.83,10.0,1000.0,0.1
425,83.25,Arabica,Taiwan,Typica,7.92,7.75,7.58,7.5,7.33,10.0,800.0,0.1
426,83.25,Arabica,Colombia,Caturra,7.58,7.5,7.58,7.58,7.75,10.0,1483.0,0.0
427,83.25,Arabica,Guatemala,Caturra,7.5,7.58,7.67,7.67,7.5,10.0,1500.0,0.1
428,83.25,Arabica,Colombia,Caturra,7.83,7.67,7.33,7.67,7.67,10.0,1750.0,0.11
429,83.25,Arabica,Mexico,Bourbon,7.58,7.5,7.5,7.58,7.58,10.0,1300.0,0.12
432,83.25,Arabica,Mexico,Caturra,7.75,7.42,7.92,7.33,7.5,10.0,1000.0,0.12
433,83.25,Arabica,Guatemala,Bourbon,7.83,7.08,7.83,7.42,8.08,10.0,1310.64,0.11
434,83.25,Arabica,Brazil,Yellow Bourbon,7.75,7.5,7.58,7.58,7.58,10.0,1200.0,0.11
435,83.25,Arabica,Colombia,Caturra,7.67,7.58,7.42,7.83,7.58,10.0,175.0,0.12
436,83.25,Arabica,Colombia,Caturra,7.67,7.5,7.5,7.58,7.67,10.0,1775.0,0.11
440,83.17,Arabica,Brazil,Bourbon,7.67,7.5,7.58,7.67,7.58,10.0,890.0,0.11
441,83.17,Arabica,Guatemala,Bourbon,7.58,7.33,7.67,7.75,7.58,10.0,1901.0,0.1
442,83.17,Arabica,"Tanzania, United Republic Of",Bourbon,7.67,7.42,7.67,7.67,7.58,10.0,168.0,0.12
444,83.17,Arabica,Vietnam,Catimor,7.58,7.08,7.33,7.58,8.58,10.0,1550.0,0.07
445,83.17,Arabica,Guatemala,Caturra,7.67,7.42,7.75,7.58,7.5,10.0,1500.0,0.11
446,83.17,Arabica,Honduras,Catuai,7.67,7.5,7.67,7.5,7.67,10.0,1450.0,0.11
447,83.17,Arabica,China,Catimor,7.5,7.33,7.67,7.67,7.67,10.0,1200.0,0.11
448,83.17,Arabica,China,Catimor,7.67,7.5,7.67,7.42,7.58,10.0,1600.0,0.1
449,83.17,Arabica,El Salvador,Bourbon,7.5,7.33,7.67,8.0,7.67,10.0,1350.0,0.0
450,83.17,Arabica,Guatemala,Bourbon,7.5,7.5,7.83,7.58,7.5,10.0,1500.0,0.11
451,83.17,Arabica,Guatemala,Bourbon,7.92,7.42,7.75,7.5,7.5,10.0,1650.0,0.12
452,83.17,Arabica,Kenya,SL28,7.83,7.67,7.75,7.83,8.5,9.33,250.5,0.1
454,83.17,Arabica,"Tanzania, United Republic Of",Other,7.58,7.67,7.58,7.42,7.58,10.0,1653.0,0.13
455,83.17,Arabica,Colombia,Caturra,7.58,7.5,7.67,7.5,7.67,10.0,1775.0,0.0
456,83.17,Arabica,Uganda,SL14,8.0,7.5,7.42,7.33,7.58,10.0,1800.0,0.1
458,83.17,Arabica,Honduras,Catuai,7.5,7.5,7.67,7.67,7.67,10.0,1450.0,0.1
459,83.17,Arabica,Honduras,Caturra,7.67,7.5,7.67,7.5,7.67,10.0,1350.0,0.11
460,83.17,Arabica,Guatemala,Catuai,7.33,7.17,8.17,7.33,7.67,10.0,1524.0,0.09
462,83.17,Arabica,"Tanzania, United Republic Of",Bourbon,7.58,7.58,7.75,7.58,7.58,10.0,1800.0,0.12
463,83.17,Arabica,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.67,10.0,1310.64,0.11
464,83.17,Arabica,Mexico,Typica,7.75,7.58,7.58,7.5,7.42,10.0,1500.0,0.11
465,83.17,Arabica,Mexico,Typica,7.75,7.58,7.5,7.42,7.58,10.0,532.0,0.12
466,83.17,Arabica,Mexico,Pacamara,7.58,7.42,7.67,7.5,7.58,10.0,1089.0,0.14
467,83.17,Arabica,Colombia,Caturra,7.67,7.5,7.5,7.58,8.17,10.0,1775.0,0.11
468,83.17,Arabica,Mexico,Typica,7.75,7.42,7.75,7.58,7.58,10.0,700.0,0.13
469,83.17,Arabica,Colombia,Caturra,7.58,7.5,7.58,7.67,7.67,10.0,1750.0,0.11
470,83.17,Arabica,Mexico,Typica,7.5,7.58,7.58,7.67,7.5,10.0,1380.0,0.11
471,83.17,Arabica,Brazil,Mundo Novo,7.75,7.58,7.5,7.58,7.58,10.0,1000.0,0.12
472,83.17,Arabica,Brazil,Mundo Novo,7.92,7.5,7.58,7.42,7.5,10.0,950.0,0.11
473,83.17,Arabica,Guatemala,Bourbon,7.75,7.67,7.5,7.92,8.0,9.33,1402.08,0.0
474,83.17,Arabica,Brazil,Mundo Novo,7.75,7.58,7.5,7.75,7.5,10.0,1000.0,0.12
478,83.08,Arabica,Colombia,Caturra,7.58,7.33,7.67,7.75,7.58,10.0,1799.0,0.0
480,83.08,Arabica,Brazil,Yellow Bourbon,7.58,7.58,7.5,7.67,7.58,10.0,905.0,0.11
481,83.08,Arabica,Brazil,Yellow Bourbon,7.33,7.67,7.33,7.75,7.42,10.0,1.0,0.0
482,83.08,Arabica,Taiwan,Typica,7.83,7.5,7.83,7.67,7.25,10.0,750.0,0.0
484,83.08,Arabica,Brazil,Bourbon,7.58,7.67,7.42,7.42,7.5,10.0,1200.0,0.0
485,83.08,Arabica,Costa Rica,Catuai,7.83,7.5,7.67,7.58,7.67,10.0,1300.0,0.1
487,83.08,Arabica,Taiwan,Typica,7.75,7.5,7.5,7.5,7.5,10.0,1300.0,0.11
489,83.08,Arabica,Mexico,Other,7.75,7.42,7.75,7.5,7.5,10.0,1400.0,0.1
492,83.08,Arabica,Colombia,Caturra,7.33,7.33,7.58,7.25,8.08,10.0,1775.0,0.01
496,83.0,Arabica,Brazil,Bourbon,7.58,7.5,7.75,7.67,7.5,10.0,890.0,0.0
497,83.0,Arabica,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.5,10.0,894.0,0.11
498,83.0,Arabica,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.42,10.0,872.0,0.11
499,83.0,Arabica,Uganda,Bourbon,7.67,7.42,7.42,7.83,7.5,10.0,1473.0,0.12
500,83.0,Arabica,Uganda,Bourbon,7.67,7.5,7.58,7.42,7.5,10.0,1645.0,0.12
502,83.0,Arabica,Vietnam,Caturra,7.75,7.58,7.58,7.42,7.67,10.0,1550.0,0.0
503,83.0,Arabica,Guatemala,Catuai,7.67,7.33,7.92,7.42,7.5,10.0,1550.0,0.11
504,83.0,Arabica,Guatemala,Catuai,7.75,7.33,7.75,7.5,7.42,10.0,1371.6,0.11
505,83.0,Arabica,Guatemala,Bourbon,7.83,7.25,7.67,7.75,7.5,10.0,1500.0,0.11
506,83.0,Arabica,Brazil,Catuai,7.67,7.67,7.5,7.42,7.5,10.0,1000.0,0.0
507,83.0,Arabica,Taiwan,Typica,7.92,7.83,7.58,7.33,7.25,10.0,1200.0,0.08
508,83.0,Arabica,Uganda,SL14,7.83,7.5,7.5,7.58,7.5,10.0,1800.0,0.12
509,83.0,Arabica,United States (Puerto Rico),Other,7.67,7.67,7.83,7.75,7.83,9.33,853.44,0.0
510,83.0,Arabica,Guatemala,Bourbon,7.67,7.42,7.83,7.5,7.5,10.0,1500.0,0.1
511,83.0,Arabica,Costa Rica,Catuai,7.67,7.5,7.58,7.5,7.5,10.0,1200.0,0.11
512,83.0,Arabica,Brazil,Yellow Bourbon,7.75,7.42,7.67,7.42,7.67,10.0,1250.0,0.12
513,83.0,Arabica,Colombia,Caturra,7.75,7.33,7.5,7.58,7.17,10.0,1775.0,0.11
514,83.0,Arabica,Colombia,Caturra,7.83,7.58,7.33,7.5,7.67,10.0,1750.0,0.0
515,83.0,Arabica,Colombia,Caturra,7.33,7.75,7.42,7.75,7.58,10.0,1000.0,0.11
516,83.0,Arabica,Colombia,Caturra,7.58,7.42,7.67,7.58,7.42,10.0,1000.0,0.0
517,83.0,Arabica,Colombia,Caturra,7.5,7.42,7.58,7.75,7.58,10.0,1775.0,0.11
518,83.0,Arabica,Mexico,Typica,7.67,7.42,7.5,7.67,7.58,10.0,750.0,0.11
519,83.0,Arabica,Mexico,Typica,7.67,7.5,7.58,7.58,7.67,10.0,1200.0,0.11
520,83.0,Arabica,Mexico,Bourbon,7.5,7.5,7.5,7.58,7.58,10.0,1200.0,0.11
522,83.0,Arabica,Colombia,Caturra,7.75,7.5,7.67,7.83,7.75,10.0,1625.0,0.0
523,83.0,Arabica,Colombia,Caturra,7.67,7.58,7.58,7.67,7.42,10.0,1750.0,0.11
524,83.0,Arabica,Guatemala,Bourbon,7.5,7.5,7.67,7.5,7.83,10.0,1371.6,0.1
525,83.0,Arabica,Colombia,Caturra,7.67,7.58,7.5,7.67,7.42,10.0,1775.0,0.12
533,82.92,Arabica,Brazil,Bourbon,7.67,7.5,7.58,7.58,7.5,10.0,890.0,0.0
534,82.92,Arabica,El Salvador,Bourbon,7.5,7.75,7.58,7.92,7.83,9.33,1350.0,0.0
535,82.92,Arabica,Colombia,Caturra,7.58,7.5,7.33,7.67,7.58,10.0,1500.0,0.11
536,82.92,Arabica,Taiwan,Caturra,7.17,7.25,7.67,7.67,7.58,10.0,350.0,0.09
537,82.92,Arabica,Ethiopia,Ethiopian Heirlooms,7.58,7.5,7.5,7.58,7.58,10.0,2000.0,0.0
538,82.92,Arabica,Taiwan,Typica,7.5,7.67,7.33,7.5,7.75,10.0,775.0,0.0
539,82.92,Arabica,Philippines,Other,7.58,7.67,7.58,7.5,7.5,10.0,1200.0,0.11
540,82.92,Arabica,Philippines,Other,8.08,7.67,7.42,7.33,7.5,10.0,1600.0,0.0
541,82.92,Arabica,Mexico,Typica,7.83,7.25,7.58,7.5,7.5,10.0,1059.0,0.13
542,82.92,Arabica,Mexico,Bourbon,7.75,7.42,7.42,7.75,7.5,10.0,1300.0,0.12
543,82.92,Arabica,Brazil,Moka Peaberry,7.08,7.5,7.83,7.75,7.67,10.0,11000.0,0.11
544,82.92,Arabica,Uganda,SL14,8.0,7.5,7.58,7.33,7.42,10.0,1650.0,0.12
545,82.92,Arabica,Uganda,SL14,7.75,7.58,7.5,7.5,7.5,10.0,1400.0,0.12
546,82.92,Arabica,Guatemala,Bourbon,7.75,7.42,7.58,7.67,7.5,10.0,1500.0,0.1
547,82.92,Arabica,Guatemala,Caturra,7.67,7.42,7.5,7.33,7.5,10.0,1500.0,0.1
549,82.92,Arabica,Colombia,Caturra,7.58,7.75,7.33,7.58,7.58,10.0,1900.0,0.11
550,82.92,Arabica,Colombia,Caturra,7.75,7.25,7.5,7.75,7.5,10.0,1750.0,0.0
551,82.92,Arabica,Guatemala,Bourbon,7.83,7.25,7.92,7.5,7.17,10.0,1706.88,0.11
552,82.92,Arabica,Colombia,Other,7.83,7.42,7.42,7.5,7.58,10.0,1450.0,0.11
553,82.92,Arabica,Mexico,Typica,7.58,7.33,7.25,7.58,7.75,10.0,1248.0,0.1
554,82.92,Arabica,Vietnam,Other,7.67,7.17,7.58,8.08,7.42,10.0,1040.0,0.0
555,82.92,Arabica,Mexico,Typica,8.0,7.67,7.17,7.67,7.42,10.0,1400.0,0.14
559,82.83,Arabica,Kenya,SL28,7.75,7.42,7.58,7.5,7.5,10.0,1754.0,0.1
560,82.83,Arabica,Guatemala,Bourbon,7.5,7.33,7.67,7.58,7.58,10.0,1700.0,0.11
561,82.83,Arabica,Brazil,Yellow Bourbon,7.67,7.58,7.5,7.5,7.42,10.0,905.0,0.11
562,82.83,Arabica,El Salvador,Pacas,7.33,7.67,7.83,7.33,7.67,10.0,1250.0,0.0
563,82.83,Arabica,Rwanda,Bourbon,7.83,7.75,7.83,7.75,7.75,9.33,1900.0,0.11
564,82.83,Arabica,Vietnam,Other,7.25,7.5,7.42,7.75,7.42,10.0,1040.0,0.11
565,82.83,Arabica,Guatemala,Bourbon,7.58,7.33,7.67,7.67,7.5,10.0,1219.2,0.11
566,82.83,Arabica,Brazil,Catuai,7.58,7.33,7.67,7.42,7.33,10.0,900.0,0.12
567,82.83,Arabica,Colombia,Other,7.83,7.5,7.58,7.5,7.67,10.0,1600.0,0.0
568,82.83,Arabica,United States,Other,7.42,7.25,7.5,7.75,7.75,10.0,1200.0,0.0
569,82.83,Arabica,Guatemala,Bourbon,7.67,7.75,7.67,7.42,7.17,10.0,1500.0,0.1
570,82.83,Arabica,Colombia,Typica,7.5,7.58,7.5,7.58,7.58,10.0,1800.0,0.0
571,82.83,Arabica,Colombia,Caturra,7.83,7.5,7.42,7.5,7.5,10.0,1775.0,0.11
572,82.83,Arabica,"Tanzania, United Republic Of",Arusha,7.67,7.33,7.25,7.58,7.75,10.0,1400.0,0.11
573,82.83,Arabica,Mexico,Caturra,7.58,7.5,7.58,7.5,7.5,10.0,1550.0,0.12
574,82.83,Arabica,Mexico,Bourbon,7.67,7.42,7.75,7.42,7.42,10.0,1250.0,0.12
575,82.83,Arabica,Guatemala,Bourbon,7.67,7.33,7.5,7.33,7.92,10.0,1310.64,0.11
576,82.83,Arabica,Mexico,Typica,7.58,7.5,7.42,7.67,7.58,10.0,1380.0,0.11
578,82.75,Arabica,Guatemala,Caturra,7.5,7.42,7.67,7.58,7.5,10.0,1100.0,0.1
579,82.75,Arabica,Guatemala,Caturra,7.58,7.5,7.58,7.5,7.42,10.0,1800.0,0.11
580,82.75,Arabica,Guatemala,Bourbon,7.5,7.17,7.67,7.67,7.58,10.0,1700.0,0.11
581,82.75,Arabica,Guatemala,Bourbon,7.5,7.42,7.58,7.67,7.5,10.0,1219.2,0.1
582,82.75,Arabica,Guatemala,Bourbon,7.42,7.42,7.67,7.5,7.5,10.0,1219.2,0.1
583,82.75,Arabica,Indonesia,Sulawesi,7.5,7.42,7.58,7.58,7.5,10.0,1500.0,0.12
584,82.75,Arabica,Guatemala,Bourbon,7.58,7.33,7.58,7.33,7.67,10.0,157.8864,0.12
585,82.75,Arabica,Taiwan,Yellow Bourbon,7.83,7.33,7.67,7.58,7.67,10.0,650.0,0.0
586,82.75,Arabica,El Salvador,Bourbon,7.67,7.17,7.33,7.58,7.67,10.0,1250.0,0.0
587,82.75,Arabica,Costa Rica,Caturra,7.58,7.42,7.67,7.42,7.5,10.0,1850.0,0.09
588,82.75,Arabica,Honduras,Caturra,7.58,7.42,7.58,7.5,7.5,10.0,1400.0,0.09
589,82.75,Arabica,Brazil,Yellow Bourbon,7.5,7.58,7.5,7.58,7.58,10.0,905.0,0.11
590,82.75,Arabica,China,Catimor,7.67,7.33,7.33,7.67,7.67,10.0,1100.0,0.1
591,82.75,Arabica,China,Catimor,7.5,7.42,7.67,7.5,7.5,10.0,1500.0,0.11
592,82.75,Arabica,Colombia,Caturra,7.5,7.58,7.75,7.33,7.5,10.0,1775.0,0.0
593,82.75,Arabica,Malawi,Gesha,7.75,7.42,7.5,7.33,7.5,10.0,1442.0,0.12
594,82.75,Arabica,Guatemala,Pacas,7.75,7.25,7.75,7.5,7.67,10.0,1524.0,0.13
595,82.75,Arabica,Colombia,Typica,7.67,7.42,7.58,7.33,7.67,10.0,165.0,0.12
598,82.75,Arabica,Colombia,Caturra,7.58,7.17,7.33,7.25,8.58,10.0,1300.0,0.1
599,82.75,Arabica,Mexico,Typica,7.58,7.5,7.5,7.5,7.5,10.0,1550.0,0.12
600,82.75,Arabica,Mexico,Typica,7.58,7.33,7.75,7.25,7.58,10.0,1200.0,0.12
601,82.75,Arabica,Mexico,Typica,8.08,8.0,8.0,7.83,7.92,10.0,1200.0,0.12
602,82.75,Arabica,Colombia,Caturra,7.5,7.42,7.67,7.5,7.58,10.0,1625.0,0.0
603,82.75,Arabica,Colombia,Caturra,7.67,7.58,7.58,7.5,7.42,10.0,1775.0,0.11
605,82.75,Arabica,Panama,Catuai,7.42,7.5,7.58,7.5,7.75,10.0,1100.0,0.0
607,82.67,Arabica,Brazil,Bourbon,7.5,7.25,7.75,7.58,7.5,10.0,890.0,0.0
608,82.67,Arabica,Brazil,Bourbon,7.5,7.5,7.67,7.5,7.42,10.0,934.0,0.11
609,82.67,Arabica,Laos,Catimor,7.67,7.42,7.42,7.42,7.5,10.0,1300.0,0.13
610,82.67,Arabica,El Salvador,Pacas,7.67,7.67,7.67,7.5,7.67,9.33,1200.0,0.0
613,82.67,Arabica,Brazil,Yellow Bourbon,7.58,7.42,7.67,7.5,7.5,10.0,1.0,0.0
615,82.67,Arabica,"Tanzania, United Republic Of",Other,7.5,7.5,7.5,7.5,7.58,10.0,1700.0,0.12
616,82.67,Arabica,"Tanzania, United Republic Of",Bourbon,7.58,7.5,7.58,7.33,7.58,10.0,1550.0,0.12
617,82.67,Arabica,Taiwan,Typica,8.0,7.83,7.42,7.25,7.25,10.0,1200.0,0.08
618,82.67,Arabica,Mexico,Typica,7.67,7.42,7.5,7.42,7.5,10.0,1296.0,0.11
619,82.67,Arabica,Uganda,SL14,7.67,7.33,7.67,7.5,7.5,10.0,1650.0,0.12
620,82.67,Arabica,Taiwan,Typica,7.67,7.5,7.5,7.5,7.5,10.0,1240.0,0.11
621,82.67,Arabica,Thailand,Caturra,7.42,7.5,7.67,7.58,7.5,10.0,1500.0,0.11
622,82.67,Arabica,Colombia,Caturra,7.75,7.67,7.25,7.58,7.42,10.0,1800.0,0.11
624,82.67,Arabica,Guatemala,Caturra,7.67,7.17,7.67,7.5,7.5,10.0,1500.0,0.11
626,82.67,Arabica,Mexico,Other,7.58,7.42,7.58,7.42,7.5,10.0,1100.0,0.11
627,82.67,Arabica,Mexico,Typica,7.5,7.58,7.58,7.42,7.42,10.0,950.0,0.12
630,82.67,Arabica,Mexico,Blue Mountain,7.75,7.25,7.75,7.67,7.58,10.0,1400.0,0.0
633,82.58,Arabica,Guatemala,Bourbon,7.5,7.42,7.75,7.5,7.5,10.0,1219.2,0.1
634,82.58,Arabica,Taiwan,Typica,7.67,7.5,7.42,7.58,7.5,10.0,1050.0,0.11
638,82.58,Arabica,Indonesia,Typica,7.83,7.42,7.33,7.42,7.5,10.0,1250.0,0.13
640,82.58,Arabica,Thailand,Caturra,7.42,7.58,7.42,7.58,7.5,10.0,1450.0,0.12
641,82.58,Arabica,"Tanzania, United Republic Of",Other,7.75,7.33,7.5,7.58,7.5,10.0,1317.0,0.12
642,82.58,Arabica,Uganda,SL14,7.83,7.42,7.58,7.42,7.42,10.0,1650.0,0.12
643,82.58,Arabica,Costa Rica,Catuai,7.67,7.5,7.67,7.0,7.75,10.0,1300.0,0.11
646,82.58,Arabica,Colombia,Caturra,7.75,7.33,7.42,7.5,7.83,10.0,1750.0,0.11
647,82.58,Arabica,Colombia,Caturra,7.75,7.75,7.25,7.33,7.58,10.0,1750.0,0.11
648,82.58,Arabica,Colombia,Caturra,7.58,7.42,7.58,7.67,7.42,10.0,1750.0,0.11
649,82.58,Arabica,Mexico,Typica,7.5,7.5,7.5,7.42,7.5,10.0,1250.0,0.1
650,82.58,Arabica,Mexico,Typica,7.67,7.58,7.75,7.67,6.83,10.0,1150.0,0.12
651,82.58,Arabica,Colombia,Caturra,7.33,7.58,7.42,7.67,7.5,10.0,1775.0,0.11
652,82.58,Arabica,Brazil,Mundo Novo,7.58,7.33,7.75,7.5,7.5,10.0,975.0,0.0
653,82.5,Arabica,Brazil,Bourbon,7.5,7.5,7.5,7.58,7.5,10.0,890.0,0.11
654,82.5,Arabica,Indonesia,Other,7.83,7.25,7.5,7.42,7.33,10.0,1250.0,0.11
655,82.5,Arabica,Honduras,Caturra,7.58,7.33,7.5,7.5,7.5,10.0,1400.0,0.1
656,82.5,Arabica,Guatemala,Bourbon,7.5,7.33,7.5,7.67,7.5,10.0,1219.2,0.1
658,82.5,Arabica,Thailand,Caturra,7.33,7.5,7.5,7.67,7.5,10.0,1450.0,0.11
659,82.5,Arabica,"Tanzania, United Republic Of",Other,7.67,7.33,7.58,7.5,7.5,10.0,1600.0,0.12
661,82.5,Arabica,Mexico,Other,7.42,7.5,7.67,7.25,7.5,10.0,1600.0,0.0
662,82.5,Arabica,Brazil,Yellow Bourbon,7.42,7.67,7.33,7.42,7.67,10.0,1260.0,0.11
663,82.5,Arabica,Guatemala,Bourbon,7.83,7.33,7.67,7.42,7.5,10.0,1310.64,0.12
664,82.5,Arabica,Colombia,Caturra,7.5,7.42,7.42,7.58,7.58,10.0,1750.0,0.11
665,82.5,Arabica,Guatemala,Bourbon,7.83,7.17,7.33,7.5,7.67,10.0,1310.64,0.11
666,82.5,Arabica,Mexico,Typica,7.5,7.5,7.5,7.42,7.42,10.0,1679.0,0.13
667,82.5,Arabica,Mexico,Typica,7.67,7.33,7.67,7.5,7.33,10.0,1100.0,0.12
668,82.5,Arabica,Mexico,Typica,7.92,7.33,7.58,7.25,7.42,10.0,1650.0,0.11
670,82.5,Arabica,Brazil,Bourbon,7.67,7.33,7.67,7.5,7.5,10.0,1250.0,0.0
671,82.5,Arabica,Colombia,Caturra,7.67,7.33,7.5,7.25,7.67,10.0,1775.0,0.11
674,82.42,Arabica,Honduras,Other,7.42,7.17,7.58,7.58,7.5,10.0,1500.0,0.12
675,82.42,Arabica,Guatemala,Bourbon,7.58,7.33,7.75,7.33,7.5,10.0,1700.0,0.1
676,82.42,Arabica,Guatemala,Bourbon,7.67,7.25,7.67,7.42,7.33,10.0,1700.0,0.12
677,82.42,Arabica,Guatemala,Bourbon,7.58,7.25,7.67,7.5,7.5,10.0,157.8864,0.12
679,82.42,Arabica,Colombia,Caturra,5.08,7.83,7.75,7.83,8.08,10.0,1600.0,0.11
680,82.42,Arabica,China,Catimor,7.67,7.42,7.5,7.42,7.42,10.0,1600.0,0.1
682,82.42,Arabica,"Tanzania, United Republic Of",Ruiru 11,7.67,7.42,7.42,7.67,7.42,10.0,2285.0,0.13
683,82.42,Arabica,Brazil,Yellow Bourbon,7.17,7.33,7.5,7.75,7.42,10.0,1.0,0.0
684,82.42,Arabica,Guatemala,Caturra,7.5,7.5,7.67,7.42,7.5,10.0,1400.0,0.1
685,82.42,Arabica,Mexico,Typica,7.42,7.42,7.58,7.42,7.5,10.0,1296.0,0.11
686,82.42,Arabica,Brazil,Catuai,7.58,7.33,7.5,7.5,7.42,10.0,1000.0,0.12
688,82.42,Arabica,Brazil,Yellow Bourbon,7.25,7.25,7.5,7.42,7.5,10.0,1260.0,0.0
689,82.42,Arabica,Mexico,Bourbon,7.5,7.5,7.92,7.42,7.67,10.0,1170.0,0.12
691,82.42,Arabica,Colombia,Caturra,7.67,7.33,7.5,7.58,7.5,10.0,1775.0,0.11
692,82.42,Arabica,Mexico,Typica,7.5,7.42,7.67,7.42,7.58,10.0,1560.0,0.12
693,82.42,Arabica,Mexico,Typica,7.42,7.5,7.42,7.58,7.5,10.0,1400.0,0.13
694,82.42,Arabica,Mexico,Typica,7.42,7.33,7.58,7.5,7.5,10.0,1300.0,0.14
695,82.42,Arabica,Mexico,Caturra,7.75,7.25,7.58,7.58,7.33,10.0,1170.0,0.13
696,82.42,Arabica,Mexico,Typica,7.5,7.33,7.5,7.5,7.5,10.0,1300.0,0.11
697,82.42,Arabica,Mexico,Pacamara,7.58,7.17,7.5,7.5,7.5,10.0,1350.0,0.14
698,82.42,Arabica,Mexico,Caturra,7.58,7.33,7.58,7.5,7.5,10.0,1150.0,0.11
699,82.42,Arabica,Mexico,Bourbon,7.67,7.33,7.42,7.58,7.33,10.0,1250.0,0.13
700,82.42,Arabica,Mexico,Typica,7.83,7.42,7.67,7.17,7.33,10.0,1450.0,0.12
701,82.42,Arabica,Colombia,Caturra,7.67,7.25,7.42,7.5,7.67,10.0,442.0,0.0
703,82.42,Arabica,Colombia,Caturra,7.33,7.17,7.58,7.42,7.58,10.0,1750.0,0.0
705,82.33,Arabica,Honduras,Caturra,7.5,7.33,7.5,7.42,7.42,10.0,1396.0,0.1
706,82.33,Arabica,Brazil,Catuai,7.33,7.5,7.33,7.5,7.5,10.0,982.0,0.11
708,82.33,Arabica,Brazil,Bourbon,7.5,7.42,7.5,7.42,7.5,10.0,934.0,0.11
709,82.33,Arabica,Costa Rica,Caturra,7.75,7.25,7.25,7.42,7.67,10.0,1850.0,0.1
710,82.33,Arabica,Costa Rica,Catuai,7.75,7.5,7.5,7.33,7.58,10.0,1550.0,0.0
